seconds,roof,tank,inlet,solar,backup
2219,7,46,17,0,1
2229,7,46,17,0,1
2239,7,46,17,0,1
2249,7,46,17,0,1
2259,7,46,17,0,1
2269,7,46,17,0,1
2279,7,46,17,0,1
2289,7,46,17,0,1
2299,7,46,17,0,1
2309,7,46,17,0,1
2319,7,46,17,0,1
2329,7,46,17,0,1
2339,7,46,17,0,1
2349,7,46,17,0,1
2359,7,46,17,0,1
2369,7,46,17,0,1
2379,7,46,17,0,1
2389,7,46,17,0,1
2399,7,46,17,0,1
2409,7,46,17,0,1
2419,7,46,17,0,1
2429,7,46,17,0,1
2439,7,46,17,0,1
2449,7,46,17,0,1
2459,7,46,17,0,1
2469,7,46,17,0,1
2479,7,46,17,0,1
2489,7,46,17,0,1
2499,7,46,17,0,1
2509,7,46,17,0,1
2519,7,46,17,0,1
2529,7,46,17,0,1
2539,7,46,17,0,1
2549,7,46,17,0,1
2559,7,46,17,0,1
2569,7,46,17,0,1
2579,7,46,17,0,1
2589,7,46,17,0,1
2599,7,46,17,0,1
2609,7,46,17,0,1
2619,7,46,17,0,1
2629,7,46,17,0,1
2639,7,46,17,0,1
2649,7,46,17,0,1
2659,7,46,17,0,1
2669,7,46,17,0,1
2679,7,46,17,0,1
2689,7,46,17,0,1
2699,7,46,17,0,1
2709,7,46,17,0,1
2719,7,46,17,0,1
2729,7,46,17,0,1
2739,7,46,17,0,1
2749,7,46,17,0,1
2759,7,46,17,0,1
2769,7,46,17,0,1
2779,7,46,17,0,1
2789,7,46,17,0,1
2799,7,46,17,0,1
2809,7,46,17,0,1
2819,7,46,17,0,1
2829,7,46,17,0,1
2839,7,46,17,0,1
2849,7,46,17,0,1
2859,7,46,17,0,1
2869,7,46,17,0,1
2879,7,46,17,0,1
2889,7,46,17,0,1
2899,7,46,17,0,1
2909,7,46,17,0,1
2919,7,46,17,0,1
2929,7,46,17,0,1
2939,7,45,17,0,1
2949,7,45,17,0,1
2959,7,45,17,0,1
2969,7,45,17,0,1
2979,7,45,17,0,1
2989,7,45,17,0,1
2999,7,44,17,0,1
3009,7,44,17,0,1
3019,7,44,17,0,1
3029,7,44,17,0,1
3039,7,44,17,0,1
3049,7,44,17,0,1
3059,7,44,17,0,1
3069,7,44,17,0,1
3079,7,44,17,0,1
3089,7,44,17,0,1
3099,7,44,17,0,1
3109,7,44,17,0,1
3119,7,44,17,0,1
3129,7,44,17,0,1
3139,7,44,17,0,1
3149,7,44,17,0,1
3159,7,44,17,0,1
3169,7,44,17,0,1
3179,7,44,17,0,1
3189,7,44,17,0,1
3199,7,44,17,0,1
3209,7,44,17,0,1
3219,7,44,17,0,1
3229,7,44,17,0,1
3239,7,44,17,0,1
3249,7,44,17,0,1
3259,7,44,17,0,1
3269,7,44,17,0,1
3279,7,44,17,0,1
3289,7,44,17,0,1
3299,7,44,17,0,1
3309,7,44,17,0,1
3319,7,44,17,0,1
3329,7,44,17,0,1
3339,7,44,17,0,1
3349,7,44,17,0,1
3359,7,44,17,0,1
3369,7,44,17,0,1
3379,7,44,17,0,1
3389,7,44,17,0,1
3399,7,45,17,0,1
3409,7,45,17,0,1
3419,7,45,17,0,1
3429,7,45,17,0,1
3439,7,45,17,0,1
3449,7,45,17,0,1
3459,7,45,17,0,1
3469,7,45,17,0,1
3479,7,45,17,0,1
3489,7,45,17,0,1
3499,7,45,17,0,1
3509,7,45,17,0,1
3519,7,45,17,0,1
3529,7,45,17,0,1
3539,7,45,17,0,1
3549,7,45,17,0,1
3559,7,45,17,0,1
3569,7,45,17,0,1
3579,7,45,17,0,1
3589,7,45,17,0,1
3599,7,45,17,0,1
3609,7,45,17,0,1
3619,7,45,17,0,1
3629,7,45,17,0,1
3639,7,45,17,0,1
3649,7,45,17,0,1
3659,7,45,17,0,1
3669,7,45,17,0,1
3679,7,45,17,0,1
3689,7,45,17,0,1
3699,7,45,17,0,1
3709,7,46,17,0,1
3719,7,46,17,0,1
3729,7,46,17,0,1
3739,7,46,17,0,1
3749,7,46,17,0,1
3759,7,46,17,0,1
3769,7,46,17,0,1
3779,7,46,17,0,1
3789,7,46,17,0,1
3799,7,46,17,0,1
3809,7,46,17,0,1
3819,7,46,17,0,1
3829,7,46,17,0,1
3839,7,46,17,0,1
3849,7,46,17,0,1
3859,7,46,17,0,1
3869,7,46,17,0,1
3879,7,46,17,0,1
3889,7,46,17,0,1
3899,7,46,17,0,1
3909,7,46,17,0,1
3919,7,46,17,0,1
3929,7,46,17,0,1
3939,7,47,17,0,1
3949,7,47,17,0,1
3959,7,47,17,0,1
3969,7,47,17,0,1
3979,7,47,17,0,1
3989,7,47,17,0,1
3999,7,47,17,0,1
4009,7,47,17,0,1
4019,7,47,17,0,1
4029,7,47,17,0,1
4039,7,47,17,0,1
4049,7,47,17,0,1
4059,7,47,17,0,1
4069,7,47,17,0,1
4079,7,47,17,0,1
4089,7,47,17,0,1
4099,7,47,17,0,1
4109,7,47,17,0,1
4119,7,47,17,0,1
4129,7,47,17,0,1
4139,7,47,17,0,1
4149,7,47,17,0,1
4159,7,47,17,0,1
4169,7,47,17,0,1
4179,7,47,17,0,1
4189,7,47,17,0,1
4199,7,47,17,0,1
4209,7,47,17,0,1
4219,7,47,17,0,1
4229,7,48,17,0,1
4239,7,48,17,0,1
4249,7,48,17,0,1
4259,7,48,17,0,1
4269,7,48,17,0,1
4279,7,48,17,0,1
4289,7,48,17,0,1
4299,7,48,17,0,1
4309,7,48,17,0,1
4319,7,48,17,0,1
4329,7,48,17,0,1
4339,7,48,17,0,1
4349,7,48,17,0,1
4359,7,48,17,0,1
4369,7,48,17,0,1
4379,7,48,17,0,1
4389,7,48,17,0,1
4399,7,48,17,0,1
4409,7,48,17,0,1
4419,7,48,17,0,1
4429,7,48,17,0,1
4439,7,48,17,0,1
4449,7,48,17,0,1
4459,7,49,17,0,1
4469,7,49,17,0,1
4479,7,49,17,0,1
4489,7,49,17,0,1
4499,7,49,17,0,1
4509,7,49,17,0,1
4519,7,49,17,0,1
4529,7,49,17,0,1
4539,7,49,17,0,1
4549,7,49,17,0,1
4559,7,49,17,0,1
4569,7,49,17,0,1
4579,7,49,17,0,1
4589,7,49,17,0,1
4599,7,49,17,0,1
4609,7,49,17,0,1
4619,7,49,17,0,1
